Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff
12000,2.6572354,0.00029999999,0.7792187765124254,18.7734375,1.3833717,0.7786833997056776,0.15652658,-1.500312,0.063147984,0.06942444,0.429187
24000,2.667509,0.00029999999,0.6737778027190102,17.73777777777778,2.753755,0.6750000306135099,0.16788138,-2.782722,0.07093314,0.07145629,0.3138341
36000,2.642675,0.00029999999,0.7940063358810422,18.94006309148265,2.9309864,0.7941640523329895,0.11874557,-3.0152292,0.04877176,0.051554274,0.2294063
48000,2.5550418,0.00029999996,1.1731060929878643,22.731060606060606,2.8938494,1.1691287650980733,0.115860514,-2.854237,0.047880467,0.05201005,0.16778314
60000,2.2500196,0.00029999996,4.052742691262614,51.48101265822785,3.3412275,3.6409285485995975,0.096628405,-3.4477556,0.039499357,0.04200549,0.11386487
72000,1.8738515,0.00029999999,100.00000149011612,1000.0,5.951439,100.00001525878906,0.032465205,-5.726693,0.012469403,0.012583311,0.0774964
84000,1.9324813,0.00029999999,100.00000149011612,1000.0,6.7546744,100.00001525878906,0.0074279993,-6.794114,0.0018799071,0.0018610854,0.05798516
96000,1.8902981,0.00029999999,100.00000149011612,1000.0,7.187444,100.00001525878906,0.0032545894,-7.2441416,0.0006824289,0.00066356006,0.04299746
108000,1.8297863,0.00029999999,100.00000149011612,1000.0,7.4747252,100.00001525878906,0.0021331257,-7.5281534,0.00048212404,0.00044960622,0.031918824
120000,1.7805088,0.00029999999,100.00000149011612,1000.0,7.694429,100.00001525878906,0.0019678727,-7.7400355,0.00049900735,0.0005485164,0.023784358
132000,1.6271487,0.00029999999,85.75714413715261,859.1428571428571,7.1510286,85.75715594632285,0.00497276,-7.892134,0.0017749637,0.0018619525,0.017803155
144000,1.4469539,0.00029999999,85.73571556540472,858.9285714285714,7.364966,85.73572736978531,0.0022572118,-8.0303545,0.0007537085,0.0008154925,0.013337972
156000,1.2594974,0.00029999999,85.72857270815543,858.8571428571429,7.1282296,85.72858451093946,0.0032913266,-8.137739,0.0011195358,0.001296888,0.009995398
168000,1.3770473,0.00029999999,100.00000149011612,1000.0,8.249258,100.00001525878906,0.002153485,-8.278754,0.0007581066,0.00079867075,0.0074209683
180000,1.2019542,0.00029999999,85.75000127990332,859.0714285714286,7.6685205,85.750013087477,0.0042501036,-8.361585,0.0015897385,0.0014770421,0.005597226
192000,0.787586,0.00029999999,100.00000149011612,1000.0,8.428006,100.00001525878906,0.0033504432,-8.447238,0.0014683462,0.0011523067,0.004356725
204000,0.7067735,0.00029999999,92.32307829994421,924.0769230769231,8.193126,92.32309101178096,0.002019282,-8.519586,0.00080766476,0.0006804358,0.0032583284
216000,0.19649248,0.00029999999,100.00000149011612,1000.0,8.572163,100.00001525878906,0.0019217132,-8.5910225,0.0006752412,0.00068827445,0.0024814787
228000,-0.08601695,0.00029999999,100.00000149011612,1000.0,8.646409,100.00001525878906,0.0016534971,-8.660947,0.000548756,0.0006286594,0.0019271515
240000,-0.24515654,0.00029999999,100.00000149011612,1000.0,8.700465,100.00001525878906,0.0013664186,-8.717271,0.00047033787,0.00051001116,0.0014775567
252000,-0.52436614,0.00029999999,75.0812511225231,753.5625,7.6193337,75.08126145601273,0.004487566,-8.750668,0.0015078987,0.0015940396,0.0011343986
264000,-0.7523876,0.00029999999,92.30769368433036,923.9230769230769,8.474649,92.30770639272836,0.003485218,-8.833834,0.0012026484,0.0012670541,0.0009572139
276000,-0.66755235,0.00029999999,92.33077060775115,924.1538461538462,8.444429,92.33078332130725,0.003587413,-8.86046,0.001261385,0.0014168754,0.0007626853
288000,-1.3249383,0.00029999999,92.31538599213728,924.0,8.544753,92.31539870225467,0.003329645,-8.944113,0.0012189054,0.0011846272,0.0006456664
300000,-1.6622376,0.00029999999,92.31538599213728,924.0,8.650481,92.31539870225467,0.0026578926,-9.0043335,0.0010209996,0.0009230412,0.00066374254
312000,-1.81731,0.00029999999,100.00000149011612,1000.0,9.025923,100.00001525878906,0.0017926096,-9.0396185,0.00073640735,0.0006468911,0.000629966
324000,-1.853157,0.00029999999,92.31538599213728,924.0,8.712395,92.31539870225467,0.0031154417,-9.074668,0.001016788,0.0010911059,0.0006603998
336000,-2.0626385,0.00029999999,80.02000119537115,802.4,7.78198,80.02001221179962,0.005260189,-9.079938,0.0017991484,0.0018142139,0.0007716407
348000,-2.0456102,0.00029999999,85.81428699514696,859.7142857142857,8.252912,85.81429880005973,0.004795907,-9.13619,0.0016343887,0.001705398,0.0010351957
360000,-1.8095932,0.00029999999,100.00000149011612,1000.0,9.248202,100.00001525878906,0.002433538,-9.256947,0.0010263205,0.0008761942,0.0011700286
372000,-1.8920628,0.00029999999,85.74285842265401,859.0,8.500557,85.74287022863116,0.0048853247,-9.303835,0.0016936456,0.0019383831,0.0010847801
384000,-1.9647949,0.00029999999,100.00000149011612,1000.0,9.34005,100.00001525878906,0.0039909678,-9.36317,0.0015485437,0.0017021263,0.0012315733
396000,-1.7176212,0.00029999999,100.00000149011612,1000.0,9.330143,100.00001525878906,0.002520975,-9.363602,0.00086500926,0.00079123327,0.0012136202
408000,-1.7019889,0.00029999999,85.73571556540472,858.9285714285714,8.520288,85.73572736978531,0.0036954412,-9.3941765,0.001172249,0.0012335905,0.0011775423
420000,-1.5850573,0.00029999999,70.64705988063531,709.7058823529412,7.3922977,70.64706960846397,0.015571898,-9.39114,0.006574527,0.006225987,0.0012993205
432000,-1.8104846,0.00029999999,85.7642869944019,859.2142857142857,8.780157,85.76429880516869,0.0065586297,-9.479368,0.0027548927,0.0026195985,0.0014309795
444000,-1.8725225,0.00029999999,100.00000149011612,1000.0,9.528298,100.00001525878906,0.003659293,-9.536764,0.0015417236,0.0013880024,0.0016826212
456000,-1.8891802,0.00029999999,80.02666786213716,802.4666666666667,8.409593,80.02667888005574,0.005692749,-9.522477,0.0021490112,0.0023191154,0.0018464524
468000,-1.9188397,0.00029999999,85.73571556540472,858.9285714285714,8.505769,85.73572737404278,0.008833526,-9.529642,0.0032532334,0.003942385,0.0020018993
480000,-1.659944,0.00029999999,85.77857270890048,859.3571428571429,8.741039,85.77858451434544,0.008285025,-9.562439,0.0034605109,0.0031103531,0.0021504147
492000,-1.4736174,0.00029999999,100.00000149011612,1000.0,9.583827,100.00001525878906,0.0032312833,-9.608402,0.0012648214,0.001138534,0.0019078738
